Marker_name	Gene_symbol	protein_control	protein_stim	log2_protein_change	diff_protein_CLR	rna_control	rna_stim	log2_rna_change	atac_control	atac_stim	log2_atac_change
CD80	CD80	563.29	447.56	-0.33113580833855	0.109875789867499	0.5	0.7	0.180572245641821	11.05	15.97	0.493953418425339
CD86	CD86	1375.63	1514.14	0.138310250772103	0.264113374917341	0.15	0.47	0.354182293891989	16.22	24.57	0.570367017844805
CD274	CD274	594.92	4395.44	2.88314520737736	1.16774684064528	6.75	26.07	1.80442667205336	39.89	77.89	0.94809437470346
CD273	PDCD1LG2	415.6	338.36	-0.295846313397454	0.0997448509321042	0.15	0.12	-0.0381351288867709	53.51	63.31	0.238522169183496
CD275-1	ICOSLG	417.55	397.09	-0.0723053460183692	0.167370117995181	1.59	0.94	-0.416895445499426	NA	0	NA
CD11b-1	ITGAM	2023.8	1334.04	-0.600896444478281	-0.0323516118857254	1.19	0.27	-0.786102372829008	20.03	21.56	0.101318217667014
Galectin-9	LGALS9	844.15	515.56	-0.710271486180268	-0.132599689892672	8.78	14.79	0.691104800908003	18.26	18.19	-0.00525299164807905
CD270	TNFRSF14	782.53	704.45	-0.151444681120488	0.24335755190789	104.7	102.81	-0.0260299517578108	33.93	43.74	0.357098613664254
CD252	TNFSF4	317.83	263.66	-0.268647218443782	0.0960813854142839	1.54	0.86	-0.449525875664135	41.66	29.99	-0.461081210754356
CD155(PVR)	PVR	242.82	236.26	-0.039347576775845	0.155700492555823	0.4	1.83	1.01537522588692	13.86	13.6	-0.0254657467712166
CD112(Nectin-2)	NECTIN2	393.34	417.38	0.085373829372065	0.257643210669713	0.35	0.86	0.4623432140572	22.07	29.07	0.38230686389102
CD47	CD47	14708.9	14662.15	-0.00459237635264119	0.566545525186596	153.43	258.17	0.746945688195318	125.05	151.2	0.271972240645005
CD70	CD70	315.88	324.43	0.0384106466719487	0.199059408675193	6.15	22.02	1.68687268646648	20.83	29.9	0.501294707800946
CD30	TNFRSF8	663.76	472.97	-0.488037828319781	0.00226672304172478	0	0.98	0.985500430304885	52.63	57.55	0.126628917364977
CD48	CD48	32201.56	31284.49	-0.0416816825060011	0.473007764031831	546.68	234.98	-1.21466860534577	107.14	108.7	0.0206632642085558
CD40	CD40	164.48	361.72	1.13219943350565	0.517356266571375	3.18	4.68	0.442387987423799	8.73	10.11	0.19134710660798
CD154	CD40LG	609.25	432.78	-0.492436852823769	-0.0116362702736079	32.35	74.98	1.18793295059308	38.77	43.68	0.167948623678103
CD52	CD52	10848.79	9673.34	-0.1654319726629	0.250022903763468	897.46	174.95	-2.35228876139365	29.28	22.09	-0.391097032211617
CD3-1	CD3E	26058.54	1065.31	-4.61111279016364	-1.84398462966864	436.12	225.89	-0.946036363989239	54.71	49.03	-0.155142863663874
CD4-1	CD4	207764.6	134719.11	-0.624991583774712	-0.0527359308080531	33.2	15.93	-1.01441435187762	52.15	42.35	-0.29403769830927
CD8	CD8A	21732.16	15219.73	-0.513860404070587	0.0700275124424393	68.63	74.44	0.115620652609458	86.92	86.47	-0.00740309245643488
CD56(NCAM)	NCAM1	1163.36	822.6	-0.499521448521033	0.0122149788631544	0.55	0.47	-0.0764520604378732	41.5	42.08	0.019555408631781
CD45-1	PTPRC	1180.34	1030.68	-0.195428690677516	0.265920483338909	1576.48	962.49	-0.711280116114619	409.42	417.81	0.0291948541553438
CD3-2	CD3E	29139.7	661.57	-5.45881884091471	-1.89450000649149	436.12	225.89	-0.946036363989239	54.71	49.03	-0.155142863663874
CD19	CD19	3327	4740.66	0.510736784823902	0.381776803536906	0.1	0.43	0.37851162325373	16.62	19.93	0.248358387335295
CD11c	ITGAX	1236.99	1106.64	-0.160510601532398	0.111054752960032	0.4	0.55	0.146841388329271	14.5	17.57	0.260705599773821
CD34	CD34	710.1	605.98	-0.228403475830441	0.106599167804428	0.2	0.08	-0.15200309344505	40.01	37.59	-0.0877486997859616
CD138-1(Syndecan-1)	SDC1	724.12	534.88	-0.436309793176237	0.00819569562156985	0	0	0	5.29	9.2	0.697437229979569
CD269(BCMA)	TNFRSF17	362.66	263.87	-0.457305799546904	0.027936338413472	0.05	0.39	0.404695555057385	0.6	0.86	0.217230716220669
CD90(Thy1)	THY1	1028	662.38	-0.633335559620632	-0.0865018078940541	0	0	0	2.68	3.16	0.176877762084079
CD117(c-kit)	KIT	728.71	372.26	-0.967142312608366	-0.0885690146399765	0.3	0	-0.37851162325373	17.34	15.05	-0.192420341585389
CD45RA	PTPRC	3991.08	4001.25	0.0036706556974427	0.350624022295701	1576.48	962.49	-0.711280116114619	409.42	417.81	0.0291948541553438
CD123	IL3RA	1048.62	1406.81	0.423585523794532	0.244364048469784	1.24	0.86	-0.268196110949573	16.38	23.54	0.497707166848505
CD105	CD7	2256.12	508.21	-2.1481504649331	-0.838783189537324	272.12	349.31	0.359097208631113	26.19	24.19	-0.110225029290519
CD201	PROCR	729.66	927.15	0.34515775162121	0.34146599613629	1.98	1.21	-0.43126596107073	10.69	10.32	-0.046400971699774
CD194	CCR4	1550.23	1633.47	0.0754102874796222	0.217749701010126	10.72	21.47	0.939027554757659	14.1	19.55	0.444589844356604
CD4-2	CD4	6852.24	5486.35	-0.320676612712708	0.135134052690822	33.2	15.93	-1.01441435187762	52.15	42.35	-0.29403769830927
CD44-1	CD44	7140.58	8303.29	0.217613535172129	0.511444198948319	237.19	197.67	-0.261738809332372	291.55	326.59	0.163208099839428
CD8a	CD8A	157668.8	122495.23	-0.364169004585064	0.0913416151028169	68.63	74.44	0.115620652609458	86.92	86.47	-0.00740309245643488
CD14	CD14	1009.95	798.79	-0.338018497623068	0.12037266595731	0.94	0.35	-0.523097245136297	18.62	17.68	-0.0708305865095769
CD16	FCGR3A	664.08	658.18	-0.0128554167035708	0.121086061943569	2.18	1.76	-0.204358498506186	11.25	11.09	-0.0189675046408094
CD56(NCAM)Recombinant	NCAM1	1256.92	1037.42	-0.276650098920728	0.0720620275044616	0.55	0.47	-0.0764520604378732	41.5	42.08	0.019555408631781
CD25	IL2RA	4484.08	40563.07	3.17699678883566	1.18319421221816	35.13	660.37	4.19418844592298	140.07	276.17	0.974359896723181
CD45RO	PTPRC	3217.91	2593.21	-0.311276970192853	0.129693366568439	1576.48	962.49	-0.711280116114619	409.42	417.81	0.0291948541553438
CD279	PDCD1	2406.01	4497.99	0.902359024664283	0.603653220489102	2.23	7.81	1.44760785422649	10.57	22.44	1.01858370531476
TIGIT	TIGIT	780.59	891.49	0.191423995439881	0.258404370420732	41.33	46.72	0.172913554376808	63.72	74.16	0.215753458990078
Rat-IgG2b-IsotypeCtrl	NA	172.59	90.26	-0.927629281939486	-0.13645169790632	NA	NA	NA	NA	NA	NA
CD20	MS4A1	469.55	439.6	-0.0948785348638759	0.123746104273616	1.79	2.58	0.359694465435069	4.89	2.9	-0.59479351008085
CD335	NCR1	771.28	775.63	0.00810342747785937	0.221169066322138	1.14	0.66	-0.366427555054222	3.2	3.37	0.0572439518344758
