Marker_name	Gene_symbol	protein_control	protein_stim	log2_protein_change	rna_control	rna_stim	log2_rna_change	atac_control	atac_stim	log2_atac_change
CD80	CD80	617.34	716.89	0.215362465821069	8.98	16.47	0.807767887579499	46.09	51.46	0.155797084965456
CD86	CD86	22322.75	14671.58	-0.605456820876291	60.46	40.36	-0.571411581278028	170.58	128.24	-0.408828741046887
CD274	CD274	4703.82	24411.41	2.3754032918343	57.33	123.51	1.09395163749526	90.08	118.15	0.387572754941011
CD273	PDCD1LG2	543.44	752.36	0.468566369231371	3.35	3.37	0.00661787876450784	121.5	84.9	-0.512051712751469
CD275-1	ICOSLG	568.99	385.22	-0.561513733934624	16.98	7.02	-1.16471887905953	NA	0	NA
CD11b-1	ITGAM	6757.48	2214.87	-1.60882557279639	36.67	26.32	-0.463458549657302	60.15	61.15	0.0234018925250982
Galectin-9	LGALS9	571.42	390.48	-0.548135475078065	114.44	47.78	-1.24278154169501	52.67	38.2	-0.453262233770494
CD270	TNFRSF14	741.57	630.97	-0.232670956738751	80.04	88.55	0.144059258072185	32.02	36.22	0.172737935145893
CD252	TNFSF4	249.98	214.19	-0.221961367211251	5.84	3.91	-0.478273300571205	39.8	36.81	-0.109801302871623
CD155(PVR)	PVR	2320.21	1236.31	-0.907670045795856	13.85	10.53	-0.365070418036356	30.53	23.75	-0.349296644829
CD112(Nectin-2)	NECTIN2	1253.85	1052.06	-0.252927281332864	51.59	29.29	-0.795946918685322	96.36	88.86	-0.11565010619029
CD47	CD47	8168.09	8392.37	0.0390748021274759	163.54	286.44	0.804822491831854	75.72	105.88	0.478317287455921
CD70	CD70	265.18	375.91	0.501817897056702	17.63	55.34	1.59653188943329	16.16	30.28	0.866190959807807
CD30	TNFRSF8	514.55	507.69	-0.0193256189389292	1.51	3.78	0.929323254029977	98.76	90.64	-0.122484006524995
CD48	CD48	22590.06	19030.23	-0.247383158438969	262.73	196	-0.420866061314058	84.69	83.72	-0.01642426270663
CD40	CD40	357.79	1036.28	1.53159379722626	146.02	198.02	0.436900991210025	29.93	41.76	0.467255019631226
CD154	CD40LG	752.22	433.23	-0.794611905823999	38.51	67.9	0.802286136613983	2.99	16.23	2.1104620500026
CD52	CD52	6735.58	6087.81	-0.145856060952594	597.07	127.56	-2.21787251776031	17.06	20.19	0.230585694891312
CD3-1	CD3D	7478.68	838.01	-3.15621663813178	269.22	418.46	0.634398782903376	4.49	13.85	1.43558487668293
CD4-1	CD4	80591.62	59574.78	-0.435921799698505	20.33	19.84	-0.0335286880620631	43.99	40.37	-0.12101940934391
CD8	CD8A	6662.14	6107.64	-0.125350985865599	20.55	30.78	0.560431255372059	18.85	30.68	0.674433328049289
CD56(NCAM)	NCAM1	1020.59	856.35	-0.252860120323968	6.6	3.91	-0.630276394016255	260.06	182.67	-0.507265421661471
CD45-1	PTPRC	1326.53	990.15	-0.42156914835681	918.21	527.79	-0.797699598859475	201.41	225.02	0.15916987144842
CD3-2	CD3E	7382.27	354.33	-4.37702851404335	134.23	125.54	-0.0958217397824156	6.58	15.04	1.08140438828383
CD19	CD19	4487.3	9399.39	1.06655150248701	0.76	7.42	2.2582448044291	30.53	23.35	-0.37280339771363
CD11c	ITGAX	11725.57	6147.16	-0.93155447405043	189.29	84.37	-1.1563986636203	88.28	98.36	0.154328146391294
CD34	CD34	1060.43	1804.83	0.766652854147001	5.41	1.89	-1.14925486411806	24.54	33.05	0.41489627319671
CD138-1(Syndecan-1)	SDC1	585.72	487.46	-0.264431746459687	0.11	0	-0.150559676575381	13.47	11.08	-0.260444467206646
CD269(BCMA)	TNFRSF17	271.27	232.53	-0.221430133163056	2.16	0	-1.65992455840238	1.5	2.77	0.592636428606577
CD90(Thy1)	THY1	818.51	599.81	-0.447852728241291	0.43	0.27	-0.171186650006224	2.09	2.77	0.28695768536429
CD117(c-kit)	KIT	1314.67	888.05	-0.565461210334497	2.27	1.35	-0.476629878933083	57.16	45.32	-0.328392015930358
CD45RA	PTPRC	1942.05	1848.26	-0.0713749486181285	918.21	527.79	-0.797699598859475	201.41	225.02	0.15916987144842
CD123	IL3RA	13513.29	16929.88	0.325171241728034	259.92	185.07	-0.487762064696311	65.24	75.21	0.202277642517073
CD105	CD7	6774.36	844.21	-3.00291586268161	71.6	126.08	0.80769554183038	7.48	11.08	0.51048428476188
CD201	PROCR	634.37	529.81	-0.259401422442795	17.85	12.28	-0.505309376809102	26.34	21.37	-0.289447986546941
CD194	CCR4	2942.87	2231.32	-0.399170113685135	6.27	22.27	1.67844394148575	2.69	6.73	1.06684759786445
CD4-2	CD4	2039.51	1979.1	-0.04335648902942	20.33	19.84	-0.0335286880620631	43.99	40.37	-0.12101940934391
CD44-1	CD44	15117.47	10330.2	-0.549304307863517	749.79	372.96	-1.00552547167722	351.04	293.7	-0.256492301704726
CD8a	CD8A	32866.25	34565.58	0.0727271198440495	20.55	30.78	0.560431255372059	18.85	30.68	0.674433328049289
CD14	CD14	4547.81	1561.24	-1.54187307037505	459.27	96.78	-2.23486910155412	40.1	24.34	-0.697721869428236
CD16	FCGR3A	1272.55	749.26	-0.763393053082934	153.38	44.55	-1.76096290376554	8.08	10.09	0.288495162870795
CD56(NCAM)Recombinant	NCAM1	1497.29	1360	-0.138649823356316	6.6	3.91	-0.630276394016255	260.06	182.67	-0.507265421661471
CD25	IL2RA	6782.26	49226.51	2.85941407079416	64.68	838.26	3.67559178988149	60.45	200.09	1.71035642396789
CD45RO	PTPRC	4165.7	3597.25	-0.211609804614675	918.21	527.79	-0.797699598859475	201.41	225.02	0.15916987144842
CD279	PDCD1	3197.87	6835.72	1.09574197705382	2.6	11.34	1.77727358281974	8.68	21.37	1.20848630378452
TIGIT	TIGIT	544.81	741.84	0.444652675698547	28.56	45.76	0.661628660385505	16.16	56.01	1.73216544863352
Rat-IgG2b-IsotypeCtrl	NA	121.8	59.48	-1.02178051603647	NA	NA	NA	NA	NA	NA
CD20	MS4A1	1259.93	1118.7	-0.171375942932028	16.44	58.31	1.76587533167344	4.79	17.22	1.65388770581281
CD335	NCR1	959.01	910.98	-0.0740472478349045	2.7	3.37	0.240108008984286	8.38	13.66	0.644225275618435
CD294	PTGDR2	440.2	288.24	-0.609165709556081	0.11	0	-0.150559676575381	5.99	6.93	0.182028410328542
CD31	PECAM1	43599.81	17906.28	-1.28380871919511	35.8	4.45	-2.75537763128009	178.07	119.93	-0.566351470598724
CD44-2	CD44	19319.51	14501.63	-0.413818625692368	749.79	372.96	-1.00552547167722	351.04	293.7	-0.256492301704726
CD133-1	PROM1	705.84	790.67	0.163515497944706	0.32	1.62	0.989028882178997	59.55	59.57	0.000476451470938562
Podoplanin	PDPN	1149.69	211.63	-2.43608215220118	12.22	2.83	-1.78730587958273	22.74	21.57	-0.0729135164500706
CD140a	PDGFRA	313.69	294.58	-0.0903826795249518	0.76	2.16	0.844349129539806	46.39	38	-0.281108536995628
CD140b	PDGFRB	340.15	257.89	-0.398066976163311	5.19	1.08	-1.57335588107317	79.9	49.28	-0.686155052896832
Cadherin11	CDH11	389.11	369.84	-0.0730841144835267	0	0	0	41.6	21.77	-0.903719138976578
CD340	ERBB2	951.1	898.3	-0.0823106404690076	0.87	0.67	-0.163190167413585	32.02	37.6	0.225260727242185
CD146	MCAM	803.15	601.43	-0.416671020238249	0.54	1.21	0.52111601869653	14.07	17.42	0.289593644493512
CD324	CDH1	1095.86	892.91	-0.295177904665024	2.27	4.72	0.806724511280307	35.01	83.32	1.22747726744693
IgM	IGHM	301.07	300.11	-0.00459228889778222	15.47	83.02	2.35089223076016	NA	NA	NA
TCRgd	TRD/TRG	734.88	881.98	0.262910235292338	NA	NA	NA	NA	NA	NA
CD195	CCR5	1374.27	732.26	-0.90731813736039	63.6	19.71	-1.64120661136078	14.07	23.55	0.704043607604231
CD196	CCR6	2437.75	1656.6	-0.557045964697197	11.9	19.84	0.691984211967892	19.75	40.57	1.00243141150272
CD185	CXCR5	491.14	693.69	0.497300549868306	2.16	10.66	1.88357132502339	23.64	30.87	0.371196763082952
CD103	ITGAE	1708.03	1333.29	-0.35710546024717	61.65	70.6	0.192645077942396	112.82	131.41	0.21825799832941
CD69	CD69	6400.76	57851.69	3.17584354564943	40.24	115.41	1.49709875797676	31.12	47.5	0.594512854444538
CD161	KLRB1	412.98	384.54	-0.10268052227047	67.39	16.33	-1.98051373486582	4.19	5.74	0.377014052823977
CD152	CTLA4	346.38	467.36	0.431103173662574	3.89	49.81	3.37720609384548	16.16	32.06	0.946037171792768
CD223	LAG3	720.74	1236.45	0.777819114717604	7.14	50.35	2.65726357693931	11.67	14.45	0.286190313650928
CD27	CD27	5947.79	6807.67	0.194776760714007	40.24	60.61	0.579120202946573	9.58	24.94	1.29383885213767
CD107a	LAMP1	2853.16	2999.46	0.0721174845660115	71.39	57.64	-0.303905312803096	37.41	31.07	-0.260257610089418
CD95	FAS	5258.37	6636.77	0.335808645727334	30.61	56.83	0.87143706687899	46.09	58.19	0.329932734145187
CD134	TNFRSF4	1192.72	7226.2	2.59797234240571	178.47	701.52	1.9687965929688	9.28	16.43	0.761732304931807
HLA-DR	HLA-DRA	22994.22	24615.21	0.0982746560718718	2254.03	1836.07	-0.295740026463058	19.75	23.75	0.254317188732685
CD1c	CD1C	1197.43	914.62	-0.388324762672125	3.68	0.94	-1.27045187739628	15.56	7.32	-0.993047239358233
CD11b-2	ITGAM	9931.63	4613.03	-1.10614838635989	36.67	26.32	-0.463458549657302	60.15	61.15	0.0234018925250982
CD64	FCGR1A	3606.14	3139.47	-0.199874930208838	10.6	12.69	0.238997641242965	1.8	1.98	0.0898855035171951
CD141	THBD	8066.06	10038.99	0.315642940989884	2.27	11.47	1.93109892433159	29.63	26.92	-0.133646425389305
CD1d	CD1D	1578.18	1100.08	-0.520256330505916	0.54	0	-0.622930350920177	22.45	15.24	-0.530036290217562
CD314	KLRK1	4510.26	4771.11	0.0810968622901447	1.08	0.67	-0.31673542566704	14.66	18.41	0.309715905422623
CD66b	CEACAM8	463.62	338.95	-0.450728687907187	0.22	0	-0.286881147788162	5.99	7.32	0.251291072765656
CD35	CR1	33772.34	22928.81	-0.558660460538166	0.65	0.27	-0.37763752747365	39.8	35.43	-0.163442157116076
