Marker_name	Gene_symbol	protein_control	protein_stim	log2_protein_change	rna_control	rna_stim	log2_rna_change	atac_control	atac_stim	log2_atac_change
CD80	CD80	578.67	649.7	0.166760730825796	9.33	19.69	1.00209339099495	56.61	50.96	-0.148917827031349
CD86	CD86	20314.47	16815.41	-0.272708992705824	49.97	50.32	0.00987281718430581	208.2	137.4	-0.596038908610217
CD274	CD274	4593.19	37318.8	3.02205882668481	54.78	281.15	2.3386425101034	116.97	147.19	0.329028070436784
CD273	PDCD1LG2	474.9	924.46	0.959512181141763	2.71	12.03	1.81234599194733	154.4	99.89	-0.623203319047333
CD275-1	ICOSLG	596.14	377.4	-0.658157123595009	13.09	6.56	-0.898213472088564	NA	0	NA
CD11b-1	ITGAM	7678.06	3976.89	-0.948926338185406	43.34	74.39	0.765764401734504	62.23	67.27	0.110642532366233
Galectin-9	LGALS9	541.06	447.48	-0.273408901194938	127.02	94.08	-0.42915540532324	70.65	51.78	-0.44097535382324
CD270	TNFRSF14	716.56	548.9	-0.383930183633065	85.03	91.89	0.110683454997532	38.37	32.62	-0.227776987922874
CD252	TNFSF4	241.04	205.91	-0.226242117173625	2.41	0	-1.76977173924945	42.58	38.33	-0.148036010172996
CD155(PVR)	PVR	2316.12	1159.26	-0.997884629243393	11.89	6.56	-0.769794124140578	32.28	27.72	-0.212599684318041
CD112(Nectin-2)	NECTIN2	1282.9	1330.14	0.0521294731510755	60.95	70.01	0.196917924427807	113.23	119.05	0.0716938109468494
CD47	CD47	8225.29	9371.81	0.188239705747725	154.26	219.89	0.508641914674441	80.47	102.34	0.343057975572222
CD70	CD70	259.54	285.2	0.135518789497274	14.15	21.88	0.594769258418076	15.91	29.76	0.863178843551843
CD30	TNFRSF8	502.23	312.86	-0.681096755034251	1.96	2.19	0.10795924813592	105.74	110.08	0.0574981658305299
CD48	CD48	22931.02	20096.49	-0.190348109671846	271.35	219.89	-0.302133759834051	110.89	110.08	-0.0104820211129787
CD40	CD40	308.65	1179.54	1.9307365737733	142.37	288.81	1.01536420305535	37.9	50.15	0.394964084759137
CD154	CD40LG	788.68	502.8	-0.648417030028232	28.75	50.32	0.786631502007014	0.94	16.72	3.19125004636789
CD52	CD52	6499.76	3986.11	-0.705264984362468	661	192.54	-1.77419944995052	20.12	24.46	0.269622584542905
CD3-1	CD3D	7243.65	789.85	-3.19544000194929	267.74	307.41	0.19863847246197	0.94	13.45	2.89694093520091
