seqnames	idx	name	combinedVars	combinedMeans	rank
z	139	JUNB_139	37.94083649483	-0.617064046209922	1
z	143	JUN_143	36.7167138696556	-0.629568580320904	2
z	137	FOS_137	35.8949582634795	-0.613379073941078	3
z	105	FOSL2_105	35.1116672468451	-0.591270452332505	4
z	142	FOSL1_142	35.0836856781177	-0.582706763025003	5
z	124	JUND_124	34.8395626238026	-0.590557197866109	6
z	651	SMARCC1_651	34.7999945074738	-0.569958253506519	7
z	130	BACH1_130	27.503805834276	-0.52633157789689	8
z	121	FOSB_121	23.6570582778907	-0.487079042969215	9
z	125	JDP2_125	22.1385743347822	-0.49882690057125	10
z	113	BACH2_113	20.7627344261852	-0.439878658766886	11
z	129	BATF_129	16.132605151012	-0.419306650839616	12
z	722	RELA_722	10.2499688918072	-0.17079491635259	13
z	119	NFE2_119	9.81274739874753	-0.290401235703017	14
z	719	NFKB1_719	9.23292699086848	-0.189653319941631	15
z	686	NR4A2_686	7.49453717995343	-0.202810627139065	16
z	633	IRF8_633	7.0393154955783	0.168651696754681	17
z	177	CTCF_177	6.82752535442209	0.0133060785429983	18
z	721	REL_721	6.81765466680165	-0.135052806841445	19
z	716	NFATC2_716	6.41331316995008	-0.203452494190148	20
z	636	IRF9_636	6.11013937788573	0.169918959446523	21
z	634	IRF2_634	6.02948315439025	0.185443397472615	22
z	115	NFE2L2_115	5.99187669388	-0.212616280965653	23
z	714	NFKB2_714	5.85949080046973	-0.140527899998565	24
z	713	NFATC3_713	5.84371534327547	-0.186326615328875	25
z	671	NR4A1_671	5.73768827139539	-0.182919955718653	26
z	718	RELB_718	5.11283244056566	-0.117451120652327	27
z	694	NR2F2_694	4.88917850545329	-0.178679565152877	28
z	170	HIVEP1_170	4.63717717498511	-0.126392365522747	29
z	824	HIVEP3_824	4.63717717498511	-0.126392365522747	30
z	632	IRF4_632	4.62883865452938	-0.178168000206696	31
z	630	IRF3_630	4.53942494856031	0.137102460152232	32
z	198	CTCFL_198	4.20381096711686	-0.0161854923837241	33
z	778	STAT2_778	4.0138916923448	0.123433643782424	34
z	629	IRF1_629	3.82580927428429	0.131755932167199	35
z	807	NFYB_807	3.81013828423868	0.134375524961772	36
z	733	RUNX1_733	3.74711705565164	-0.0346281445562174	37
z	518	PBX3_518	3.46905872141632	0.123566488018298	38
z	806	CEBPZ_806	3.37977912784543	0.120150641593312	39
z	732	RUNX2_732	3.36111661631595	0.00633436812928117	40
z	734	ENSG00000250096_734	3.36111661631595	0.00633436812928117	41
z	668	NR4A3_668	3.3544688558029	-0.133185441069102	42
z	800	NFYC_800	3.24520387309607	0.116739046217189	43
z	288	NFYA_288	3.18617096906057	0.116306117435674	44
z	334	ELF5_334	3.11190401756504	0.138197677331562	45
z	147	MAFF_147	3.05137029982896	-0.142809960777408	46
z	324	ETV2_324	2.96055047871226	0.144601366876712	47
z	149	MAFK_149	2.83408499262831	-0.119185319707436	48
z	163	PRDM1_163	2.81085503274126	0.0954248495257947	49
z	801	CBFB_801	2.74945890574119	-0.0098723018753382	50
z	329	ELF1_329	2.73503816445526	0.120967945897598	51
z	631	IRF5_631	2.71638565098516	0.0810574463724268	52
z	691	ESRRA_691	2.71346448940738	-0.107939731930046	53
z	253	ZNF683_253	2.7003027827927	0.0811725076619031	54
z	333	EHF_333	2.66170697331695	0.117371756310322	55
z	325	ERF_325	2.63545792880822	0.124591678778755	56
z	341	ELK4_341	2.5884991511483	0.118480449072356	57
z	346	ENSG00000235187_346	2.53037298961502	0.113060364774548	58
z	323	ELF4_323	2.50305517420672	0.109467700428422	59
z	332	ETS1_332	2.47033837400988	0.118272523007987	60
z	338	GABPA_338	2.45526344341768	0.111028625183137	61
z	692	NR2F1_692	2.44053412333451	-0.0981777229132625	62
z	779	STAT5B_779	2.42099182921772	0.0226203439810588	63
z	774	STAT5A_774	2.41853687127226	0.033221512405482	64
z	339	ERG_339	2.38134003115295	0.116885642476651	65
z	697	ESRRG_697	2.34844178417734	-0.100579128751812	66
z	342	ELF3_342	2.34544944777594	0.101892704502919	67
z	848	ZFP42_848	2.28686391291994	0.0551989448019102	68
z	331	ELK1_331	2.26196949395832	0.103712741713953	69
z	67	EBF1_67	2.26132349325988	-0.0924507004487861	70
z	715	NFATC4_715	2.24584069443473	-0.0877499545675523	71
z	717	NFAT5_717	2.23946206036102	-0.0871566902473892	72
z	327	ELK3_327	2.23916142352243	0.103194205561053	73
z	343	FEV_343	2.19365166376382	0.101641767351799	74
z	773	STAT1_773	2.14344024924639	0.0425648848919074	75
z	670	NR2C1_670	2.13017729950295	-0.091066741728711	76
z	106	NFE2L1_106	2.10875295980316	-0.105442497707433	77
z	845	NFE2L3_845	2.10875295980316	-0.105442497707433	78
z	337	FLI1_337	2.09992523484372	0.104415363943563	79
z	428	HNF1B_428	2.09570377413344	-0.0496106120522549	80
z	173	YY1_173	2.08166312955061	0.0532840520605314	81
z	731	RUNX3_731	2.04425834944712	0.0257119977455415	82
z	635	IRF7_635	2.02861663544817	0.0677853788744499	83
z	191	KLF12_191	2.00312145206922	-0.0847372738695182	84
z	97	TCF4_97	1.96783663274097	0.000668451264403501	85
