TF	sgNTC	sgCD4_sgGuide1	sgCD4_sgGuide2	sgCD3E_sgGuide2	sgCD3ECD4_sgGuide1	sgZAP70_sgGuide1	sgZAP70_sgGuide2	sgNFKB2_sgGuide1	sgNFKB2_sgGuide2
TFAP2B_1	0.193972940899656	0.22882316942692	0.160067694655497	-0.454874350746195	-0.376323005452131	-0.147600286507912	-0.373162563736696	0.198259803343459	0.222218528122293
TFAP2D_2	-0.141144638473002	-0.181918576078026	-0.102552533377518	0.262348552809764	0.192485668982798	0.0786237715350872	0.206052911818575	-0.110636679445726	-0.0689549626382495
TFAP2C_3	0.448782041538723	0.361409945638861	0.322112604476706	-0.891878666616308	-0.765679807376926	-0.411923160165785	-0.876102603275569	0.354596858962267	0.408167361466515
TFAP2E_4	0.100651520809275	0.125511903143897	-0.0156175470460514	-0.300890792894335	-0.224233829622215	-0.0504841488833641	-0.188499026400717	0.123363983673347	0.0574929103470368
TFAP2A_5	-0.015697890209555	-0.00213629322894405	0.0381841182631927	-0.0920886704163477	-0.0635929111111422	-0.0605350569959036	-0.0184780738515674	0.0517785762502956	0.00654990888235548
ARID3A_6	-0.473756212519997	-0.575074612524595	-0.367168604899348	0.999946791511939	0.758540752118982	0.36339588156567	0.852541493199859	-0.400651199230314	-0.24238811725922
ARID5B_7	-0.120384718705773	-0.155798595872341	-0.0983096296374027	0.294001407865368	0.317928716776436	0.148802261522342	0.209131725816298	-0.273031012095412	-0.200396225547332
ARID3B_8	-0.112935553413114	-0.259659434153685	-0.0578749534962013	0.0315869768253473	0.026646367579918	-0.0678786130452754	0.0978679577735875	0.182989217171664	0.221191765669281
ARID5A_9	-0.0196751085956535	-0.141377881353827	-0.086022619255877	0.020555232931333	0.0786552337574271	0.0850345446100162	0.16413917527412	0.0196792314485112	-0.0121793640076691
ARID3C_10	-0.206834389493704	-0.340695197801497	-0.252072971134653	0.409449084527521	0.456665401354031	0.0724521714506927	0.30433490255725	-0.116061343008657	-0.0878860636768027
ARID2_11	-0.19533679791402	-0.326854229456565	-0.222137083249737	0.416830930275238	0.36300207630142	0.183521391412459	0.32725899016209	-0.0872242271354279	-0.174358599314142
HMGA1_12	-0.148182909208168	-0.241166518011303	-0.119285336011685	0.432761397858223	0.288244850515113	0.141346082890319	0.245535519168222	-0.240111352133355	-0.198089491142011
HMGA2_13	-0.0908670120766806	-0.0896733233255104	-0.0836335205191284	-0.181802690894246	-0.0635638939049906	-0.0298771415705573	0.0861052687074424	0.13806161811241	0.194383721795967
MAX_14	-0.224529509043728	-0.269112507861205	-0.147392128365886	0.778309852994331	0.557644154162403	0.230424922018917	0.324972029348505	-0.386256636747491	-0.398683865066574
MLXIPL_15	-0.374004524146317	-0.477879409268424	-0.250213028512812	0.841189491379221	0.630620945921552	0.276693440992155	0.495357872375437	-0.408898895588432	-0.348347919219571
ARNTL2_16	-0.23183326269965	-0.377216442815654	-0.188012827061705	0.7703141718713	0.525883091222289	0.241481394219288	0.433689552170563	-0.41573090270877	-0.442861822639197
AHRR_17	-0.155031285339393	-0.12253491978201	-0.102531302603929	0.281316373937472	0.291846207593526	0.0180562344623446	0.168585145449242	-0.184172623020679	0.0199698185103006
TFE3_18	-0.379668295298174	-0.518857419563014	-0.247435788888606	0.885706154341079	0.69189092628965	0.294716384201478	0.586547403528105	-0.466483466451555	-0.451397367954902
HES2_19	-0.0222869484243936	-0.0625455480637573	-0.0523000194237693	0.228241781561415	0.232058125672837	-0.0192221504723542	0.0687314046418509	-0.296490514797251	-0.283936266164607
MNT_20	-0.136542364224557	-0.295816314149686	-0.199537838646309	0.56228770848169	0.571854660204873	0.16921886443509	0.273627751386775	-0.375388885821339	-0.489353780008775
TCF3_21	-0.00657934950333594	0.0118350854439507	-0.162284619961454	0.354625572228127	0.36212779914413	0.111376852621389	0.099275712995202	-0.526407432065456	-0.422697023729151
SREBF1_22	0.273066884655422	0.261979347149485	0.31079925452941	-0.458770984996745	-0.432439211697347	-0.281600339517025	-0.429526878926881	0.060809347256572	0.0395998677062445
TFAP4_23	0.153849239213584	0.115124195513382	-0.0693936356824012	-0.208053602157376	-0.0975376237974286	0.0203549657967592	-0.198998619344251	-0.0467623978366524	-0.0656450096308437
